DateTime_start,date,duration,T,Rh,Cₐ,PAR_instruction,Ri_PAR_f,Scenario,Sequence,Plant,transpiration_diff_g_s,transpiration_linear_g_s,CO2_outflux_umol_s,Wind
2021-03-13T09:15:30.0,2021-03-13T09:15:30.0,5 minutes,29.827272727272724,0.7075454545454545,408.1818181818182,0.18,116.8092,Cloudy,4,5,0.0035214521452145453,0.0026913029957506044,0.325280733,10.0
2021-03-13T09:25:30.0,2021-03-13T09:25:30.0,5 minutes,30.181818181818176,0.6766363636363638,407.0,0.1909090909090909,123.88854545454545,Cloudy,4,5,0.002904564315351942,0.0024099061024227273,0.366380154,10.0
2021-03-13T09:35:30.0,2021-03-13T09:35:30.0,5 minutes,30.28181818181819,0.6740909090909091,405.3636363636364,0.20454545454545453,132.73772727272728,Cloudy,4,5,0.002672955974843911,0.0030740805745438837,0.408814083,10.0
2021-03-13T09:45:30.0,2021-03-13T09:45:30.0,5 minutes,30.300000000000008,0.6636363636363636,405.3636363636364,0.22,142.76680000000002,Cloudy,4,5,0.00428382838283904,0.0037742796921824066,0.452299823,10.0
2021-03-13T09:55:30.0,2021-03-13T09:55:30.0,5 minutes,30.390909090909098,0.6674545454545455,404.90909090909093,0.2309090909090909,149.84614545454545,Cloudy,4,5,0.0033974358974357224,0.0031776753466644177,0.497873863,10.0
2021-03-13T10:05:30.0,2021-03-13T10:05:30.0,5 minutes,30.9,0.6412727272727271,404.0,0.24454545454545454,158.69532727272727,Cloudy,4,5,0.004350993377484455,0.004290505565841136,0.541967441,10.0
2021-03-13T10:15:30.0,2021-03-13T10:15:30.0,5 minutes,30.990909090909096,0.634,403.45454545454544,0.26,168.72440000000003,Cloudy,4,5,0.0034631147540975407,0.0029718362849686644,0.589329363,10.0
2021-03-13T10:25:30.0,2021-03-13T10:25:30.0,5 minutes,31.24545454545455,0.6186363636363637,401.90909090909093,0.2709090909090909,175.80374545454544,Cloudy,4,5,0.003996721311475577,0.0033193436943278745,0.63014166,10.0
2021-03-13T10:35:30.0,2021-03-13T10:35:30.0,5 minutes,31.4,0.605181818181818,401.09090909090907,0.28454545454545455,184.65292727272728,Cloudy,4,5,0.004930921052632405,0.004675781615478872,0.675324339,10.0
2021-03-13T10:45:30.0,2021-03-13T10:45:30.0,5 minutes,31.572727272727274,0.5973636363636364,400.45454545454544,0.3,194.68200000000002,Cloudy,4,5,0.00539144736842146,0.004508132812232062,0.713956291,10.0
2021-03-13T10:55:30.0,2021-03-13T10:55:30.0,5 minutes,31.772727272727273,0.5860909090909092,399.6363636363636,0.3109090909090909,201.76134545454548,Cloudy,4,5,0.005819672131147839,0.0054482447671370575,0.749136298,10.0
